Steppingstone sampler:
        No Stones:                  1000
        Start It:                   11000001
        It Per Stone:               5000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	3750	-0.138730	-0.138730
1	0.995007	3750	-0.139440	-0.278170
2	0.992517	3750	-0.155913	-0.434083
3	0.990030	3750	-0.176605	-0.610689
4	0.987547	3750	-0.155001	-0.765690
5	0.985067	3750	-0.149358	-0.915047
6	0.982592	3750	-0.132144	-1.047191
7	0.980120	3750	-0.125267	-1.172458
8	0.977652	3750	-0.130658	-1.303116
9	0.975187	3750	-0.124177	-1.427293
10	0.972726	3750	-0.126288	-1.553581
11	0.970269	3750	-0.136379	-1.689961
12	0.967816	3750	-0.131358	-1.821319
13	0.965367	3750	-0.154460	-1.975779
14	0.962921	3750	-0.165700	-2.141479
15	0.960479	3750	-0.157445	-2.298924
16	0.958040	3750	-0.161311	-2.460235
17	0.955606	3750	-0.145985	-2.606220
18	0.953175	3750	-0.166052	-2.772273
19	0.950747	3750	-0.153114	-2.925386
20	0.948324	3750	-0.148131	-3.073517
21	0.945904	3750	-0.156813	-3.230330
22	0.943488	3750	-0.173675	-3.404005
23	0.941076	3750	-0.149100	-3.553105
24	0.938667	3750	-0.159645	-3.712749
25	0.936262	3750	-0.136455	-3.849204
26	0.933861	3750	-0.115673	-3.964877
27	0.931463	3750	-0.139289	-4.104166
28	0.929069	3750	-0.154692	-4.258858
29	0.926679	3750	-0.142186	-4.401045
30	0.924293	3750	-0.129080	-4.530125
31	0.921910	3750	-0.165037	-4.695162
32	0.919531	3750	-0.164774	-4.859936
33	0.917155	3750	-0.166154	-5.026090
34	0.914783	3750	-0.144121	-5.170211
35	0.912415	3750	-0.156133	-5.326344
36	0.910051	3750	-0.137608	-5.463952
37	0.907690	3750	-0.126370	-5.590323
38	0.905333	3750	-0.133645	-5.723968
39	0.902980	3750	-0.144726	-5.868694
40	0.900630	3750	-0.138376	-6.007071
41	0.898284	3750	-0.141792	-6.148863
42	0.895942	3750	-0.161151	-6.310013
43	0.893603	3750	-0.166607	-6.476620
44	0.891268	3750	-0.163929	-6.640549
45	0.888937	3750	-0.169543	-6.810093
46	0.886609	3750	-0.149496	-6.959589
47	0.884285	3750	-0.139475	-7.099064
48	0.881965	3750	-0.143376	-7.242440
49	0.879648	3750	-0.138984	-7.381424
50	0.877335	3750	-0.140781	-7.522205
51	0.875026	3750	-0.161155	-7.683360
52	0.872720	3750	-0.146480	-7.829840
